TckrSymb	Dt	OpnIntrst	FrstPric	MinPric	MaxPric	TradAvrgPric	LastPric
EZTCB190	2022-02-04	4200	1.09	0.81	1.09	1.02	0.81
BEFG39	2022-02-04	-	52.86	52.86	52.86	52.86	52.86
T1MU34	2022-02-04	-	318.81	318.81	324.49	320.11	324.12
A1MB34	2022-02-04	-	363	363	364.49	363.74	364.49
EZTCN210	2022-02-04	6300	1.86	1.86	1.86	1.86	1.86
BEEFB105	2022-02-04	282100	0.03	0.03	0.03	0.03	0.03
RECX11	2022-02-04	-	91.13	91.13	91.13	91.13	91.13
SULAN220	2022-02-04	54600	0.08	0.08	0.08	0.08	0.08
BOAC34	2022-02-04	-	61.25	61.24	64.76	63.29	64.76
SADI11	2022-02-04	-	88.76	88.3	88.76	88.42	88.5
S1PO34	2022-02-04	-	218.75	211.57	235	225.47	235
TAEE3	2022-02-04	-	12.7	12.5	12.7	12.56	12.57
L1UL34	2022-02-04	-	447.05	441.77	451.88	448.2	450.51
CACR11	2022-02-04	-	106.28	105.33	106.28	105.71	105.96
RBHG11	2022-02-04	-	84.82	84.55	85.48	84.89	84.71
BRFSO185	2022-02-04	161600	0.58	0.58	0.98	0.87	0.98
H1DB34	2022-02-04	-	73.61	73.36	73.64	73.4	73.64
BAER39	2022-02-04	-	27.11	27.03	27.37	27.07	27.37
EMAE4	2022-02-04	-	50	49.02	50.95	49.88	50
WHRL4	2022-02-04	-	7.02	6.9	7.11	6.95	6.91
ELETN305	2022-02-04	106300	0.22	0.21	0.25	0.22	0.21
V1OD34	2022-02-04	-	48.8	48.39	48.8	48.43	48.39
BRKMN650	2022-02-04	18400	6.3	4.34	6.3	5.78	4.34
ELETO257	2022-02-04	32500	0.2	0.2	0.2	0.2	0.2
TUPYC210	2022-02-04	100	0.57	0.57	0.6	0.57	0.6
ENBRB215	2022-02-04	170400	0.59	0.52	0.59	0.54	0.52
BRKMB540	2022-02-04	25300	4.7	4.7	6.98	6.22	6.98
VULCB935	2022-02-04	1500	0.09	0.09	0.09	0.09	0.09
CPLEN740	2022-02-04	44500	0.1	0.1	0.11	0.1	0.11
N2LY34	2022-02-04	-	40.08	40.08	40.08	40.08	40.08
CSNAC307	2022-02-04	420500	0.49	0.45	0.49	0.45	0.45
BEFV39	2022-02-04	-	46.06	46.06	46.06	46.06	46.06
LIPR3	2022-02-04	-	65	65	65	65	65
BERU39	2022-02-04	-	52.4	52.4	52.4	52.4	52.4
DEOP34	2022-02-04	-	1099.81	1091.39	1099.81	1091.91	1091.39
MULTP195	2022-02-04	2100	0.68	0.68	0.68	0.68	0.68
MDIAB259	2022-02-04	339700	0.05	0.05	0.05	0.05	0.05
