TckrSymb	Dt	OpnIntrst	FrstPric	MinPric	MaxPric	TradAvrgPric	LastPric
CPLEB680E	2022-02-04	-	6.71	6.71	6.71	6.71	6.71
GOAUO135	2022-02-04	11200	1.61	1.61	1.61	1.61	1.61
VALEN817	2022-02-04	159600	9	7.55	9	8.23	7.55
VALED10	2022-02-04	154700	15.97	15.97	16.42	16.26	16.2
VALEP106	2022-02-04	137600	9.2	9.2	9.2	9.2	9.2
VALEC90	2022-02-04	6320000	2.74	2.55	3.32	2.79	3.22
GGBRN254	2022-02-04	123100	0.1	0.07	0.1	0.07	0.07
VALED132	2022-02-04	102000	0.11	0.11	0.12	0.11	0.12
GGBRN291	2022-02-04	140200	0.88	0.88	0.95	0.93	0.95
VALEC703	2022-02-04	24100	18.25	18.25	18.25	18.25	18.25
VALED901	2022-02-04	377300	4.59	4.59	4.9	4.75	4.85
GGBRN261	2022-02-04	442300	0.16	0.1	0.16	0.12	0.1
VALEB722	2022-02-04	104900	14.21	14.11	14.65	14.4	14.65
VALEP10	2022-02-04	110600	8.7	8.7	8.8	8.79	8.8
GGBRB314	2022-02-04	276000	0.11	0.11	0.11	0.11	0.11
VALEK799	2022-02-04	8900	26.03	26.03	26.18	26.1	26.18
VALEE130	2022-02-04	19000	0.17	0.17	0.17	0.17	0.17
VALEB752	2022-02-04	612400	11.3	11.3	13.08	11.64	13.08
VALEN632	2022-02-04	534200	0.03	0.02	0.03	0.02	0.02
GGBRN264	2022-02-04	355800	0.16	0.13	0.19	0.16	0.14
VALEO793	2022-02-04	102300	1.39	1	1.42	1.17	1
VALEO693	2022-02-04	152900	0.35	0.34	0.35	0.34	0.34
GGBRB286	2022-02-04	157400	0.81	0.7	0.94	0.79	0.77
VALEB817	2022-02-04	1100500	0.21	0.2	0.32	0.26	0.29
VALEB802	2022-02-04	1328300	6.82	6.5	8.44	7.75	8.35
VALEB702	2022-02-04	166500	16.52	15.81	18.13	16.83	18.01
VALEO988	2022-02-04	47000	10.98	10.59	10.98	10.97	10.59
VALEB797	2022-02-04	2239200	0.33	0.33	0.59	0.51	0.56
VALEB822	2022-02-04	994300	5.1	4.85	6.55	6.18	6.5
VALEN877	2022-02-04	78300	14.99	13.03	14.99	14.3	13.03
VALEB772	2022-02-04	231700	9.6	9.6	10.97	10.91	10.75
VALEO398	2022-02-04	200000	0.02	0.01	0.02	0.01	0.01
GGBRB324	2022-02-04	155500	0.05	0.05	0.05	0.05	0.05
VALEO623	2022-02-04	9500	0.17	0.17	0.17	0.17	0.17
VALED100	2022-02-04	20300	5.05	5.05	5.05	5.05	5.05
GOAUB125	2022-02-04	543300	0.09	0.08	0.11	0.09	0.09
GGBRB299	2022-02-04	334400	0.36	0.28	0.4	0.31	0.34
GGBRC314	2022-02-04	1272200	0.53	0.49	0.53	0.5	0.51
VALEO628	2022-02-04	7700	9.88	9.88	9.88	9.88	9.88
GGBRN295	2022-02-04	209900	0.42	0.4	0.44	0.41	0.44
VALEN832	2022-02-04	2064300	1.21	0.59	1.26	0.89	0.6
GGBRN286	2022-02-04	60100	0.72	0.64	0.85	0.76	0.64
VALEP710	2022-02-04	92900	0.72	0.6	0.9	0.89	0.6
VALEC878	2022-02-04	989500	3.85	3.77	4.46	4.22	4.46
VALEO803	2022-02-04	220700	1.68	1.17	1.68	1.33	1.17
VALEN994	2022-02-04	514100	5.69	3.84	5.69	4.29	3.96
GOAUB120	2022-02-04	448800	0.24	0.2	0.25	0.21	0.24
VALEC107	2022-02-04	124800	0.19	0.13	0.21	0.16	0.21
GGBRB274	2022-02-04	201600	1.6	1.6	1.6	1.6	1.6
VALEC950	2022-02-04	422900	4.3	4.15	5.13	4.87	5.07
VALEC988	2022-02-04	190300	0.73	0.73	0.92	0.87	0.9
VALEO778	2022-02-04	199300	1.08	0.86	1.13	1.04	0.86
VALED89	2022-02-04	10000	4.6	4.6	5.09	4.81	5.09
VALED128	2022-02-04	21400	0.17	0.17	0.19	0.18	0.19
VALEC733	2022-02-04	16200	15.68	15.45	15.91	15.67	15.91
VALEN522	2022-02-04	580400	0.01	0.01	0.01	0.01	0.01
GOAU4F	2022-02-04	-	11.82	11.65	11.9	11.76	11.77
VALEC893	2022-02-04	518500	3	3	3.77	3.52	3.7
VALEN762	2022-02-04	1199300	0.2	0.12	0.2	0.15	0.13
VALEN692	2022-02-04	370600	0.06	0.04	0.06	0.05	0.05
GGBRO270	2022-02-04	143400	0.36	0.32	0.36	0.35	0.32
VALEC743	2022-02-04	503300	13.1	13.1	14.88	14.15	14.88
VALEO983	2022-02-04	20100	11.7	10.81	11.7	11.22	10.81
VALEB882	2022-02-04	3097800	1.42	1.35	2.29	1.92	2.25
VALEB777	2022-02-04	5027700	0.46	0.44	0.78	0.67	0.69
VALEC963	2022-02-04	656300	1.1	1.04	1.41	1.25	1.36
VALEC783	2022-02-04	88900	10.49	10.49	11.18	11.09	11.18
VALEB874	2022-02-04	286400	7.8	7.8	9.32	8.5	9.32
VALEO853	2022-02-04	133100	3.2	2.46	3.28	2.95	2.46
VALEN827	2022-02-04	150600	10.59	10.06	10.59	10.51	10.13
GGBRO259	2022-02-04	220800	0.45	0.4	0.45	0.4	0.41
VALEO813	2022-02-04	120300	1.82	1.36	1.95	1.5	1.36
GGBRN281	2022-02-04	239900	0.54	0.51	0.63	0.55	0.51
VALEN752	2022-02-04	1209100	0.14	0.1	0.17	0.12	0.11
VALEO748	2022-02-04	158800	0.72	0.52	0.72	0.62	0.52
VALEC823	2022-02-04	156400	7.22	7.22	8.02	7.72	7.96
VALEC838	2022-02-04	5025000	5.93	5.75	6.9	6.62	6.88
VALEO838	2022-02-04	121900	2.65	1.98	2.77	2.2	1.98
GOAUN110	2022-02-04	301100	0.08	0.07	0.08	0.07	0.07
VALEO653	2022-02-04	71100	0.2	0.2	0.2	0.2	0.2
VALEN892	2022-02-04	590800	4.02	2.57	4.15	3	2.67
VALEN816	2022-02-04	791400	0.82	0.41	0.85	0.62	0.41
VALED951	2022-02-04	26000	2.75	2.7	2.89	2.75	2.89
GOAUC125	2022-02-04	69200	0.32	0.32	0.35	0.32	0.33
GOAUB110	2022-02-04	156900	0.8	0.8	0.8	0.8	0.8
VALEO733	2022-02-04	86500	0.58	0.46	0.62	0.57	0.46
GOAUB140	2022-02-04	68800	0.01	0.01	0.01	0.01	0.01
VALEC623	2022-02-04	1800	24.3	24.3	24.3	24.3	24.3
VALED99	2022-02-04	94700	4.4	4.4	4.6	4.55	4.6
VALEB962	2022-02-04	1620200	0.14	0.14	0.24	0.18	0.21
VALEO883	2022-02-04	146300	4.86	3.6	4.86	4.05	3.6
GGBRO274	2022-02-04	94600	0.85	0.71	0.87	0.81	0.74
VALEC808	2022-02-04	89700	7.7	7.7	9.21	8.35	9.21
VALEB832	2022-02-04	4934500	4.39	4.13	5.83	5.27	5.79
VALEN842	2022-02-04	1176800	1.6	0.78	1.6	1.11	0.8
VALEB902	2022-02-04	1403100	0.12	0.12	0.17	0.14	0.17
VALEC818	2022-02-04	104900	7.27	6.9	8.53	7.9	8.53
GGBRB291	2022-02-04	278700	0.55	0.54	0.65	0.55	0.54
VALED124	2022-02-04	841000	0.31	0.29	0.31	0.3	0.29
TKNO4F	2022-02-04	-	64.37	64.37	65.14	64.98	65.14
VALEO608	2022-02-04	16400	7.85	6.92	7.85	7.27	6.92
VALEB672	2022-02-04	81400	19.86	19.86	20.66	20.46	20.66
VALEN939	2022-02-04	966200	1.87	1.15	2.24	1.78	1.21
VALES954	2022-02-04	46800	6.24	5.51	6.36	6.02	5.51
VALEN777	2022-02-04	198200	5.95	4.59	5.95	5.21	4.59
VALEB742	2022-02-04	1263000	12.85	12.65	13.98	13.55	13.98
VALEN807	2022-02-04	77800	7.8	6.35	7.8	7.1	6.38
VALEO873	2022-02-04	677100	4.22	3.2	4.22	3.82	3.2
VALEC648	2022-02-04	55600	0.81	0.81	1.06	0.95	1.05
VALEC813	2022-02-04	87000	7.35	7.35	8.81	8.4	8.81
VALEN874	2022-02-04	769300	0.45	0.22	0.45	0.32	0.23
VALEA105	2022-02-04	1300	10	10	10	10	10
VALEN672	2022-02-04	326200	0.05	0.02	0.05	0.02	0.04
GGBRC294	2022-02-04	266300	1.12	1.12	1.24	1.14	1.13
VALED13	2022-02-04	18200	0.15	0.15	0.15	0.15	0.15
VALEE827	2022-02-04	4000	1.48	1.48	1.48	1.48	1.48
VALEB944	2022-02-04	1996100	2.25	2.22	3.48	2.88	3.34
GGBRN269	2022-02-04	332600	0.2	0.18	0.27	0.23	0.18
VALEB827	2022-02-04	824700	0.1	0.09	0.13	0.1	0.11
GGBRC311	2022-02-04	73000	0.56	0.56	0.64	0.58	0.6
VALEO850	2022-02-04	206500	0.98	0.72	1	0.94	0.72
VALEO458	2022-02-04	9600	0.02	0.02	0.02	0.02	0.02
VALED120	2022-02-04	186200	0.5	0.49	0.5	0.49	0.5
GGBRN246	2022-02-04	82500	0.05	0.05	0.05	0.05	0.05
GOAU3	2022-02-04	-	10.33	10.2	10.4	10.29	10.39
MGEL4	2022-02-04	-	13.89	13.87	13.9	13.88	13.89
VALEO848	2022-02-04	137300	3.15	2.39	3.21	2.77	2.39
FESA3F	2022-02-04	-	51.24	48.92	51.24	50.42	49.07
VALED990	2022-02-04	193700	4.78	4.78	5.4	4.95	5.4
VALEQ762	2022-02-04	25800	0.85	0.85	0.85	0.85	0.85
VALES650	2022-02-04	105200	0.24	0.23	0.24	0.23	0.23
VALEP680	2022-02-04	26800	0.5	0.48	0.5	0.48	0.48
VALEP132	2022-02-04	17000	31.6	31.6	31.63	31.62	31.63
VALED831	2022-02-04	58700	3.9	3.9	3.9	3.9	3.9
VALEN944	2022-02-04	1502300	2.45	1.3	2.45	2.02	1.3
VALEB892	2022-02-04	6409100	1.12	1.07	1.78	1.51	1.74
VALEB939	2022-02-04	1351900	2.41	2.41	3.88	3.29	3.79
GGBR3F	2022-02-04	-	22.95	22.39	23.15	22.86	23.06
VALEC618	2022-02-04	1820000	1.48	1.46	1.71	1.58	1.67
VALEC773	2022-02-04	12600	10.79	10.79	12.2	11.77	12.15
GGBRO249	2022-02-04	26600	0.3	0.3	0.3	0.3	0.3
MGEL4F	2022-02-04	-	13.22	13.22	13.22	13.22	13.22
VALEJ947	2022-02-04	-	9.69	9.69	9.69	9.69	9.69
VALEC578	2022-02-04	282600	2.5	2.5	3.1	2.84	3.05
GGBRN300	2022-02-04	244600	0.76	0.53	0.76	0.61	0.53
VALEP586	2022-02-04	63900	0.2	0.2	0.2	0.2	0.2
VALEO833	2022-02-04	2052200	2.52	1.85	2.52	2.19	1.85
VALEO828	2022-02-04	187400	2.32	1.66	2.46	2.12	1.66
VALEP100	2022-02-04	69500	5.73	5.73	5.73	5.73	5.73
GOAUN120	2022-02-04	516300	0.44	0.41	0.44	0.42	0.43
VALEC870	2022-02-04	26700	10.17	10.17	10.17	10.17	10.17
VALEB810	2022-02-04	402800	6.46	6.19	8	7.33	7.85
VALEO863	2022-02-04	164000	3.56	2.8	3.89	3.14	2.8
VALEC953	2022-02-04	161700	1.26	1.25	1.58	1.39	1.52
VALEC688	2022-02-04	626800	0.38	0.38	0.46	0.42	0.44
VALEG954	2022-02-04	19400	9.46	9.46	10.2	9.83	10.2
VALEN864	2022-02-04	2435000	0.33	0.17	0.35	0.25	0.18
VALEN642	2022-02-04	347900	0.03	0.03	0.03	0.03	0.03
VALEN477	2022-02-04	389700	0.01	0.01	0.01	0.01	0.01
VALEC833	2022-02-04	81300	6.09	6.09	7.36	6.91	7.36
VALEN837	2022-02-04	185100	12.36	11.35	12.4	12.18	11.35
GGBRB294	2022-02-04	412400	0.5	0.41	0.56	0.45	0.46
VALED970	2022-02-04	11900	6	6	6.6	6.41	6.4
GOAUN100	2022-02-04	39600	0.02	0.02	0.02	0.02	0.02
VALEO783	2022-02-04	142300	1.21	0.87	1.24	1.07	0.88
VALEO903	2022-02-04	6800	7.94	6.55	7.94	7.21	6.6
VALEN662	2022-02-04	194800	0.04	0.03	0.04	0.03	0.03
VALEC778	2022-02-04	25900	11.3	11.3	11.77	11.47	11.77
GGBRO239	2022-02-04	109000	0.18	0.16	0.18	0.16	0.16
VALEN572	2022-02-04	77300	0.01	0.01	0.01	0.01	0.01
VALEN582	2022-02-04	342100	0.01	0.01	0.01	0.01	0.01
VALEN934	2022-02-04	819200	2	1	2	1.47	1.07
VALEO818	2022-02-04	153700	2.02	1.46	2.03	1.79	1.46
VALEA2	2022-02-04	1400400	6.5	6.5	7.5	6.97	7.4
VALEN847	2022-02-04	542800	12.92	12	12.92	12.41	12.05
GGBR4F	2022-02-04	-	28.59	28.3	28.9	28.63	28.9
VALEB872	2022-02-04	1540700	1.83	1.73	2.99	2.34	2.99
VALEC608	2022-02-04	4805400	1.54	1.52	2.01	1.78	1.97
VALEO758	2022-02-04	215900	0.85	0.63	0.85	0.76	0.63
GGBRO266	2022-02-04	109900	0.62	0.54	0.62	0.59	0.54
VALEP960	2022-02-04	91400	4.22	3.37	4.33	3.94	3.38
GGBRB319	2022-02-04	205000	0.06	0.05	0.07	0.05	0.06
GOAUO125	2022-02-04	16100	0.93	0.93	0.93	0.93	0.93
VALEC758	2022-02-04	61100	13.17	13.17	13.17	13.17	13.17
VALEC828	2022-02-04	144600	7	6.75	7.75	7.18	7.75
VALEP89	2022-02-04	500	5.68	4.78	5.68	4.98	4.78
GGBRC284	2022-02-04	1260100	1.68	1.55	1.72	1.67	1.65
VALEP890	2022-02-04	157300	2.48	1.91	2.55	2.15	1.91
VALEB887	2022-02-04	472100	0.04	0.04	0.05	0.04	0.05
VALEC140	2022-02-04	113000	0.02	0.02	0.02	0.02	0.02
VALED980	2022-02-04	32500	5.5	5.5	6.01	5.91	6.01
VALEN111	2022-02-04	207800	23.15	22.8	23.15	22.97	22.81
VALEC843	2022-02-04	329800	5.45	5.45	6.68	6.39	6.68
VALEC793	2022-02-04	66400	8.83	8.83	10.45	10.11	10.44
VALEC943	2022-02-04	5317700	1.43	1.4	1.81	1.7	1.8
GOAUC115	2022-02-04	50900	0.77	0.76	0.82	0.76	0.79
VALEN962	2022-02-04	109100	9.88	9.17	9.88	9.63	9.51
PMAM3F	2022-02-04	-	7.98	7.76	8.12	7.9	7.86
VALED811	2022-02-04	32400	9.05	9.05	10.5	9.75	9.9
VALEO713	2022-02-04	73900	0.4	0.4	0.4	0.4	0.4
GOAUN880	2022-02-04	381300	0.01	0.01	0.01	0.01	0.01
VALEP910	2022-02-04	36600	2.85	2.4	2.85	2.56	2.41
VALEO763	2022-02-04	134100	0.91	0.65	0.92	0.83	0.66
VALEC122	2022-02-04	186000	0.03	0.03	0.03	0.03	0.03
VALEP506	2022-02-04	1700	0.12	0.09	0.12	0.1	0.09
VALEN872	2022-02-04	757800	2.74	1.67	2.95	2	1.8
GGBRO289	2022-02-04	147100	1.43	1.35	1.45	1.4	1.35
GGBRO244	2022-02-04	38800	0.24	0.22	0.24	0.23	0.22
VALEP821	2022-02-04	19700	4.2	4.09	4.2	4.14	4.09
GGBRB259	2022-02-04	6900	3	2.97	3	2.98	2.97
VALE3F	2022-02-04	-	85.76	85.56	88.15	87.1	88.15
FESA4F	2022-02-04	-	47.97	46.31	47.97	47.42	47.11
VALEC888	2022-02-04	440300	0.52	0.5	0.66	0.57	0.64
GGBRC289	2022-02-04	186000	1.4	1.3	1.51	1.38	1.47
VALEO973	2022-02-04	109300	10.63	9.67	10.63	10.47	9.67
GGBRN274	2022-02-04	412100	0.32	0.25	0.35	0.3	0.25
VALEP900	2022-02-04	105500	2.74	2.14	2.83	2.2	2.14
VALEB107	2022-02-04	231800	0.02	0.02	0.02	0.02	0.02
VALEB712	2022-02-04	131400	15.98	15.98	16.85	16.23	16.85
VALEP990	2022-02-04	392200	5.5	4.6	5.5	4.94	4.65
VALEC803	2022-02-04	165300	8.05	8	9.64	9.23	9.61
VALEB113	2022-02-04	715400	0.01	0.01	0.01	0.01	0.01
VALEN722	2022-02-04	764400	0.09	0.06	0.09	0.07	0.06
VALEB837	2022-02-04	904400	0.07	0.07	0.1	0.08	0.09
VALEE847	2022-02-04	39500	1.67	1.19	2.01	1.59	1.19
VALEC858	2022-02-04	350600	4.76	4.46	5.61	4.99	5.58
VALED122	2022-02-04	600	0.33	0.31	0.4	0.38	0.37
VALEB642	2022-02-04	9400	22.76	22.76	22.76	22.76	22.76
VALEB732	2022-02-04	201200	13.67	13.67	14.7	13.88	14.5
VALEO808	2022-02-04	331700	1.67	1.27	1.72	1.55	1.27
VALEO728	2022-02-04	145900	0.52	0.45	0.52	0.48	0.45
VALEO963	2022-02-04	2100	10.47	9	10.47	9.21	9
GGBRN259	2022-02-04	185200	0.12	0.09	0.12	0.1	0.09
VALEO718	2022-02-04	2298500	0.46	0.41	0.46	0.45	0.41
VALEB682	2022-02-04	73700	18.27	18.27	18.27	18.27	18.27
VALEB652	2022-02-04	75800	22.6	22.6	22.65	22.64	22.65
GGBRC326	2022-02-04	65100	0.3	0.3	0.3	0.3	0.3
VALEC653	2022-02-04	-	23.1	23.1	23.15	23.14	23.15
GGBRO241	2022-02-04	56600	0.21	0.21	0.21	0.21	0.21
PMAM3	2022-02-04	-	7.98	7.73	8.15	7.94	8.04
GOAUB135	2022-02-04	227400	0.02	0.01	0.02	0.01	0.01
VALEB816	2022-02-04	353800	5.4	5.36	6.75	6.45	6.47
VALEP860	2022-02-04	34900	1.45	1.23	1.45	1.34	1.23
VALEN712	2022-02-04	678000	0.08	0.05	0.08	0.06	0.07
VALEO598	2022-02-04	30100	7.59	6.55	7.59	7.09	6.55
VALED960	2022-02-04	206000	6.55	6.55	7.3	6.92	7.3
GGBRO264	2022-02-04	64500	0.58	0.48	0.59	0.48	0.49
GOAUO150	2022-02-04	13600	3.06	3.06	3.06	3.06	3.06
VALEN797	2022-02-04	202100	7.06	5.34	7.35	6.36	5.35
VALEP920	2022-02-04	1028500	3.36	2.81	3.36	3.17	2.81
GGBRB325	2022-02-04	336200	0.15	0.12	0.17	0.13	0.16
VALED821	2022-02-04	20600	8.35	8.35	9.4	8.76	9.4
VALEC628	2022-02-04	308100	1.14	1.14	1.47	1.39	1.44
GGBRC309	2022-02-04	125200	0.66	0.59	0.7	0.61	0.7
VALED926	2022-02-04	25000	3.38	3.38	3.38	3.38	3.38
VALEB692	2022-02-04	50600	16.97	16.97	18.38	17.14	18.38
VALEC923	2022-02-04	381700	0.21	0.21	0.28	0.26	0.28
GOAUO120	2022-02-04	170000	0.66	0.6	0.66	0.63	0.6
VALEC873	2022-02-04	625500	3.94	3.9	4.83	4.42	4.8
VALEN492	2022-02-04	131200	0.01	0.01	0.01	0.01	0.01
VALEO843	2022-02-04	213700	2.88	2.1	2.88	2.56	2.1
VALEO88	2022-02-04	113500	5.06	3.88	5.06	4.27	3.88
VALEP850	2022-02-04	89600	1.37	1.2	1.37	1.22	1.21
FESA3	2022-02-04	-	48.55	48.55	50	49.62	50
GGBRN260	2022-02-04	135800	0.05	0.05	0.05	0.05	0.05
VALEP820	2022-02-04	24800	0.9	0.9	0.9	0.9	0.9
VALEL3	2022-02-04	136000	6.22	6.22	6.22	6.22	6.22
VALEO658	2022-02-04	31100	11.9	11.9	11.9	11.9	11.9
VALEC853	2022-02-04	159900	5.15	5.09	6.01	5.77	6.01
VALEP110	2022-02-04	154700	11.3	11.3	11.3	11.3	11.3
VALEL11	2022-02-04	1036700	8.06	8.06	8.11	8.08	8.11
GOAUC120	2022-02-04	89700	0.51	0.51	0.55	0.52	0.54
VALEO120	2022-02-04	4100	21.5	21.5	21.5	21.5	21.5
VALEO643	2022-02-04	5800	0.19	0.19	0.19	0.19	0.19
VALED801	2022-02-04	-	10.75	10.7	10.75	10.72	10.7
GGBRC295	2022-02-04	359600	1.9	1.9	1.9	1.9	1.9
GGBRB295	2022-02-04	671900	1.6	1.6	1.6	1.6	1.6
VALEO60	2022-02-04	51600	0.11	0.11	0.11	0.11	0.11
GGBRN251	2022-02-04	536100	0.09	0.06	0.09	0.08	0.07
VALEN826	2022-02-04	504300	0.03	0.03	0.03	0.03	0.03
VALEN902	2022-02-04	134300	11.27	9.37	11.27	10.61	9.67
VALEO888	2022-02-04	81900	13.35	12.73	13.35	13.24	12.73
VALEB864	2022-02-04	465500	8.2	8.2	10.33	9.73	10.3
VALEC983	2022-02-04	199500	0.85	0.84	1.01	0.92	0.96
VALEC598	2022-02-04	109900	2	2	2.27	2.1	2.26
VALEC708	2022-02-04	3800	17.9	17.9	17.9	17.9	17.9
VALEB807	2022-02-04	2073300	0.27	0.25	0.43	0.39	0.4
VALEC88	2022-02-04	484200	3.11	3.11	4	3.61	3.95
VALEB994	2022-02-04	4467100	0.62	0.6	1.04	0.89	1.02
VALEC848	2022-02-04	414100	5	5	6.27	6.03	6.1
VALED126	2022-02-04	11500	0.2	0.19	0.25	0.22	0.22
VALEC115	2022-02-04	474200	0.18	0.18	0.24	0.21	0.24
VALEC798	2022-02-04	157000	9.87	9.87	10.02	9.95	10.02
GGBRO269	2022-02-04	43600	0.72	0.72	0.72	0.72	0.72
VALEO648	2022-02-04	2245700	10.03	10.03	10.03	10.03	10.03
VALEN772	2022-02-04	1182700	0.29	0.15	0.29	0.19	0.15
VALES850	2022-02-04	115400	5.35	4.96	5.35	5.03	4.96
VALEB877	2022-02-04	499000	0.05	0.04	0.07	0.04	0.05
VALED851	2022-02-04	828800	1.79	1.79	2.6	2.53	2.6
GOAUO110	2022-02-04	111100	0.28	0.22	0.29	0.26	0.22
VALE3	2022-02-04	-	85.75	85.55	88.17	87.19	87.98
VALEN810	2022-02-04	1344700	0.69	0.31	0.69	0.45	0.33
GGBRB312	2022-02-04	384700	0.43	0.36	0.45	0.37	0.38
VALEB103	2022-02-04	1677200	0.04	0.03	0.05	0.04	0.04
VALED830	2022-02-04	3100	15.25	15.25	15.25	15.25	15.25
GGBRC304	2022-02-04	60300	0.77	0.74	0.85	0.77	0.74
VALEP880	2022-02-04	66300	2.03	1.8	2.03	1.95	1.8
VALEB826	2022-02-04	83600	24.44	24.44	24.44	24.44	24.44
VALEC763	2022-02-04	6600	11.8	11.8	11.8	11.8	11.8
VALEO603	2022-02-04	700	0.12	0.12	0.12	0.12	0.12
FESA4	2022-02-04	-	47.37	46.22	47.92	47.33	47.85
VALEC104	2022-02-04	234000	0.26	0.26	0.34	0.31	0.33
GGBRB289	2022-02-04	395800	0.7	0.58	0.8	0.68	0.75
VALEO878	2022-02-04	289500	4.41	3.4	4.41	3.83	3.58
VALEO708	2022-02-04	958200	0.41	0.39	0.41	0.39	0.39
VALEN103	2022-02-04	402400	15.3	15.2	15.3	15.2	15.2
VALEN732	2022-02-04	1013000	0.11	0.08	0.11	0.09	0.11
VALES830	2022-02-04	50000	4.49	4.37	4.49	4.41	4.37
GGBRN266	2022-02-04	154400	0.22	0.16	0.23	0.19	0.16
VALEO953	2022-02-04	26200	9.38	8.3	9.38	8.38	8.35
VALEP800	2022-02-04	53800	0.75	0.75	0.75	0.75	0.75
VALEN869	2022-02-04	801300	0.39	0.2	0.39	0.27	0.22
VALEP840	2022-02-04	85000	1.25	1.05	1.3	1.27	1.07
GGBRB311	2022-02-04	273500	0.09	0.09	0.11	0.09	0.1
VALEO683	2022-02-04	123300	0.3	0.26	0.3	0.28	0.26
VALED108	2022-02-04	133600	1.72	1.72	1.72	1.72	1.72
GOAUB130	2022-02-04	442300	0.04	0.03	0.04	0.03	0.04
VALEN109	2022-02-04	32300	22.92	21.12	22.92	22.03	21.12
VALEP970	2022-02-04	34900	4.4	3.75	4.4	4.12	3.75
VALED112	2022-02-04	149200	1.18	1.15	1.18	1.16	1.15
VALED106	2022-02-04	685700	2.57	2.56	2.88	2.56	2.88
VALEB662	2022-02-04	18600	20.72	20.72	20.72	20.72	20.72
GGBRN231	2022-02-04	194500	0.05	0.05	0.05	0.05	0.05
VALEP99	2022-02-04	61500	6	6	6	6	6
GOAU4	2022-02-04	-	11.8	11.65	11.88	11.76	11.8
VALEB842	2022-02-04	2148400	3.3	3.3	4.98	4.23	4.86
VALEB934	2022-02-04	2681200	2.85	2.74	4.22	3.75	4.11
VALEB869	2022-02-04	742800	8.27	8.27	9.8	9.46	9.8
VALEO858	2022-02-04	202600	3.5	2.65	3.5	3.19	2.67
VALEP700	2022-02-04	11500	0.62	0.55	0.62	0.6	0.56
VALED871	2022-02-04	19300	1.55	1.54	1.55	1.54	1.55
VALEC113	2022-02-04	86400	0.07	0.07	0.07	0.07	0.07
VALEL130	2022-02-04	228100	3.25	3.25	3.66	3.45	3.66
GOAUD120	2022-02-04	-	0.76	0.76	0.82	0.79	0.82
VALEO703	2022-02-04	202300	0.41	0.32	0.41	0.34	0.32
VALEB867	2022-02-04	2741800	2.02	1.97	3.15	2.74	2.93
GGBRB304	2022-02-04	905300	0.22	0.18	0.25	0.21	0.24
VALEO893	2022-02-04	114400	5.35	4.1	5.35	4.31	4.11
VALEP980	2022-02-04	55300	4.99	4.35	4.99	4.43	4.35
VALEB109	2022-02-04	504600	0.01	0.01	0.02	0.01	0.02
VALED840	2022-02-04	13600	13.45	13.45	13.45	13.45	13.45
GGBRD353	2022-02-04	-	0.25	0.25	0.28	0.26	0.28
GGBRC322	2022-02-04	217100	0.73	0.73	0.73	0.73	0.73
VALEC850	2022-02-04	82200	12.16	12.16	12.16	12.16	12.16
VALEO773	2022-02-04	220700	1.05	0.77	1.09	0.98	0.77
VALED900	2022-02-04	-	9.23	9.23	10.4	9.92	10.4
VALEB997	2022-02-04	468800	0.03	0.02	0.05	0.02	0.05
VALEO688	2022-02-04	74700	14.7	14.29	14.7	14.63	14.29
GGBRB329	2022-02-04	211400	0.03	0.03	0.04	0.03	0.04
VALEN107	2022-02-04	94300	20.07	20.07	20.07	20.07	20.07
GGBRC299	2022-02-04	97300	0.95	0.94	1.06	0.97	1.01
VALEC728	2022-02-04	17400	14.82	14.82	15.65	15.09	15.65
VALEN667	2022-02-04	3500	0.01	0.01	0.01	0.01	0.01
VALEC913	2022-02-04	164000	2.3	2.3	2.89	2.62	2.85
VALEO90	2022-02-04	106700	5.8	4.79	5.8	5.16	4.79
VALEO663	2022-02-04	78000	0.21	0.21	0.21	0.21	0.21
VALEO913	2022-02-04	111800	6.45	5.28	6.45	5.67	5.32
VALED841	2022-02-04	21300	3.5	3.2	3.5	3.35	3.2
GOAUN105	2022-02-04	122000	0.04	0.03	0.04	0.03	0.03
VALEO993	2022-02-04	41100	11.73	11.73	11.73	11.73	11.73
VALEC110	2022-02-04	195500	0.13	0.13	0.13	0.13	0.13
VALEN822	2022-02-04	1142800	0.98	0.45	0.98	0.71	0.45
VALEN997	2022-02-04	112500	18.72	16.81	19.04	17.73	16.81
VALEN652	2022-02-04	931100	0.03	0.03	0.03	0.03	0.03
VALEN767	2022-02-04	2554000	4.74	3.2	5	3.87	3.31
GOAUB115	2022-02-04	208800	0.44	0.44	0.53	0.46	0.5
GGBRN292	2022-02-04	119100	0.46	0.35	0.46	0.38	0.35
VALEN602	2022-02-04	125000	0.02	0.02	0.02	0.02	0.02
GOAUC135	2022-02-04	57300	0.12	0.11	0.12	0.11	0.11
GOAU3F	2022-02-04	-	10.37	10.21	10.45	10.37	10.44
VALEB977	2022-02-04	2401000	0.11	0.1	0.15	0.12	0.14
VALEB847	2022-02-04	1263100	0.06	0.06	0.08	0.06	0.08
VALEO104	2022-02-04	547400	16.15	16.15	16.15	16.15	16.15
GOAUP120	2022-02-04	-	0.73	0.72	0.73	0.72	0.72
VALEC658	2022-02-04	155300	0.58	0.58	0.78	0.68	0.75
VALEO588	2022-02-04	130500	6.63	5.52	6.63	6.13	5.52
VALEO743	2022-02-04	100500	0.71	0.58	0.71	0.66	0.58
